match_id,date,team1,team2,winner,first_innings_total,dls_target,dls_overs,inn2_score_at_end,inn2_overs_bowled,inn2_wickets_at_end,current_score,ml_predicted_score,ml_target,dls_win_prediction,ml_win_prediction,actual_team2_won,target_diff
745163,2014-08-30,Sri Lanka,Pakistan,Sri Lanka,102.0,101.0,48,104,19,3,104,172.0,172,1,0,0.0,71.0
750667,2014-12-03,Sri Lanka,England,England,242.0,236.0,35,236,34,5,236,264.8,265,1,0,1.0,29.0
754731,2014-11-23,Australia,South Africa,Australia,280.0,275.0,48,275,48,8,275,271.4,276,1,0,0.0,1.0
800469,2016-02-03,South Africa,England,England,399.0,290.0,33,250,34,5,250,259.0,259,0,0,1.0,-31.0
817211,2015-07-15,Bangladesh,South Africa,Bangladesh,168.0,170.0,40,170,27,1,170,184.0,185,1,0,0.0,15.0
870733,2015-06-21,Bangladesh,India,Bangladesh,200.0,200.0,47,200,38,4,200,201.7,202,1,0,0.0,2.0
907375,2016-02-07,South Africa,England,England,196.0,150.0,35,150,29,3,150,215.5,216,1,0,1.0,66.0
913629,2016-06-29,England,Sri Lanka,England,305.0,308.0,42,309,41,4,309,298.1,310,1,0,0.0,2.0
913653,2016-08-24,England,Pakistan,England,260.0,151.0,34,194,35,3,194,248.2,249,1,0,0.0,98.0
914265,2016-01-31,New Zealand,Pakistan,New Zealand,290.0,263.0,43,265,43,7,265,277.4,278,1,0,0.0,15.0
915777,2015-11-01,Sri Lanka,West Indies,Sri Lanka,159.0,163.0,26,164,25,9,164,179.5,180,1,0,0.0,17.0
915779,2015-11-04,Sri Lanka,West Indies,Sri Lanka,214.0,225.0,38,225,37,2,225,222.1,226,1,0,0.0,1.0
915781,2015-11-07,Sri Lanka,West Indies,Sri Lanka,206.0,162.0,32,180,33,5,180,211.4,212,1,0,0.0,50.0
919609,2015-10-03,Zimbabwe,Pakistan,Zimbabwe,276.0,262.0,48,256,48,8,256,270.2,271,0,0,0.0,9.0
